Date,Open,Adj Close
2019-05-28,12.75,12.58
2019-05-29,12.47,12.66
2019-05-30,12.58,12.55
2019-05-31,12.34,12.34
2019-06-03,12.37,11.93
2019-06-04,12.07,12.91
2019-06-05,13.25,13.11
2019-06-06,13.63,13.73
2019-06-07,13.67,13.63
2019-06-10,14.02,14.19
2019-06-11,14.61,14.47
2019-06-12,14.86,13.95
2019-06-13,14.03,14.26
2019-06-14,14.08,14.33
2019-06-17,14.37,15.0
2019-06-18,15.25,14.98
2019-06-19,15.01,15.1
2019-06-20,14.87,14.64
2019-06-21,14.41,14.79
2019-06-24,14.88,14.91
2019-06-25,14.96,14.65
2019-06-26,14.69,14.62
2019-06-27,14.63,14.86
2019-06-28,14.73,14.9
2019-07-01,15.35,15.14
2019-07-02,15.26,14.97
2019-07-03,15.96,15.66
2019-07-05,15.64,15.54
2019-07-08,15.42,15.36
2019-07-09,15.26,15.34
2019-07-10,15.61,15.93
2019-07-11,15.88,15.91
2019-07-12,15.98,16.34
2019-07-15,16.53,16.9
2019-07-16,16.62,16.83
2019-07-17,17.04,16.99
2019-07-18,17.0,16.9
2019-07-19,17.05,17.21
2019-07-22,17.25,17.05
2019-07-23,17.11,17.34
2019-07-24,17.28,17.66
2019-07-25,15.57,15.25
2019-07-26,15.13,15.2
2019-07-29,15.14,15.72
2019-07-30,15.53,16.15
2019-07-31,16.2,16.11
2019-08-01,16.18,15.59
2019-08-02,15.42,15.62
2019-08-05,15.31,15.22
2019-08-06,15.46,15.38
2019-08-07,15.1,15.56
2019-08-08,15.63,15.89
2019-08-09,15.74,15.67
2019-08-12,15.53,15.27
2019-08-13,15.25,15.67
2019-08-14,15.41,14.64
2019-08-15,14.72,14.38
2019-08-16,14.44,14.66
2019-08-19,14.95,15.12
2019-08-20,15.17,15.06
2019-08-21,14.8,14.72
2019-08-22,14.85,14.81
2019-08-23,14.66,14.09
2019-08-26,14.24,14.33
2019-08-27,14.38,14.27
2019-08-28,14.25,14.37
2019-08-29,14.6,14.78
2019-08-30,15.28,15.04
2019-09-03,14.94,15.0
2019-09-04,15.13,14.71
2019-09-05,14.83,15.31
2019-09-06,15.15,15.16
2019-09-09,15.33,15.45
2019-09-10,15.39,15.7
2019-09-11,15.83,16.47
2019-09-12,16.51,16.39
2019-09-13,16.46,16.35
2019-09-16,16.4,16.19
2019-09-17,16.16,16.32
2019-09-18,16.33,16.23
2019-09-19,16.4,16.44
2019-09-20,16.43,16.04
2019-09-23,16.0,16.08
2019-09-24,16.1,14.88
2019-09-25,14.97,15.25
2019-09-26,15.38,16.17
2019-09-27,16.15,16.14
2019-09-30,16.2,16.06
2019-10-01,16.1,16.31
2019-10-02,16.22,16.21
2019-10-03,15.46,15.54
2019-10-04,15.44,15.43
2019-10-07,15.32,15.85
2019-10-08,15.72,16.0
2019-10-09,16.09,16.3
2019-10-10,16.35,16.32
2019-10-11,16.48,16.53
2019-10-14,16.53,17.13
2019-10-15,17.18,17.19
2019-10-16,17.16,17.32
2019-10-17,17.5,17.46
